episode,reward,moving_avg_reward,epsilon,loss,steps
1,24.0,24.0,0.9554770977236295,0.0,24
2,83.0,53.5,0.8169809657715474,0.15729221742896532,107
3,13.0,40.0,0.7972964680132258,0.07661500157645115,120
4,32.0,38.0,0.7509678231280615,0.031116885325900512,152
5,11.0,32.6,0.7357149280601301,0.013052654124542394,163
6,10.0,28.833333333333332,0.7221368627511766,0.013349449774250389,173
7,12.0,26.428571428571427,0.706197614105487,0.025068461894989014,185
8,14.0,24.875,0.6880789262789093,0.026324989473713294,199
9,11.0,23.333333333333332,0.6741944788243039,0.2274993605573069,210
10,18.0,22.8,0.6521231452436216,0.1032913684224089,228
11,13.0,21.90909090909091,0.636669708676446,0.06694434167673954,241
12,19.0,21.666666666666668,0.6147945205716847,0.051082789799884745,260
13,15.0,21.153846153846153,0.5981023198614623,0.06014757100492716,275
14,17.0,20.857142857142858,0.5797800840038017,0.04795183624853106,292
15,16.0,20.533333333333335,0.5630954984121521,0.14801054843701422,308
16,16.0,20.25,0.5469363674473757,0.16088397079147398,324
17,21.0,20.294117647058822,0.5264972656127528,0.1128066856236685,345
18,11.0,19.77777777777778,0.5161287971142782,0.11666911230845885,356
19,12.0,19.36842105263158,0.5050748835293135,0.11992039779822032,368
20,14.0,19.1,0.4925095227673368,0.11030393945319313,382
