episode,reward,moving_avg_reward,epsilon,loss,steps
1,18.0,18.0,0.966408278808967,0.0,18
2,19.0,18.5,0.9322381091492229,0.0,37
3,21.0,19.333333333333332,0.895951462132599,0.0,58
4,12.0,17.5,0.8758903236288655,0.3944654677595411,70
5,16.0,17.2,0.8498802145100749,0.10605841502547264,86
6,26.0,18.666666666666668,0.8093493776508969,0.1689459214416834,112
7,20.0,18.857142857142858,0.7795748626738708,0.0977548360824585,132
8,14.0,18.25,0.7594301091746893,0.06493366429848331,146
9,17.0,18.11111111111111,0.7357149280601301,0.06414331473848399,163
10,33.0,19.6,0.6919189082625947,0.049213663547892465,196
11,16.0,19.272727272727273,0.6717026878134157,0.2268248340114951,212
12,12.0,18.666666666666668,0.6569594498303204,0.1501422580331564,224
13,8.0,17.846153846153847,0.6473253767437435,0.13114778883755207,232
14,19.0,17.928571428571427,0.6250528701139131,0.10039876450441386,251
15,15.0,17.733333333333334,0.6080574893562972,0.1007322898755471,266
16,19.0,17.8125,0.5872491667645603,0.09689737145641916,285
17,39.0,19.058823529411764,0.5469363674473757,0.17664719124635062,324
18,16.0,18.88888888888889,0.53128614274731,0.12343361950479448,340
19,14.0,18.63157894736842,0.5179970463101287,0.1392599123397044,354
20,15.0,18.45,0.5041656433055587,0.11733127000431219,369
21,13.0,18.2,0.4925095227673368,0.12595114914270547,382
22,11.0,17.8,0.4828806195643183,0.14012374796650626,393
23,9.0,17.2,0.4751584761991917,0.2290863510635164,402
24,10.0,17.1,0.46673977431556946,0.3101275943219662,412
25,21.0,17.35,0.4495991759537968,0.2109067276829765,433
26,20.0,17.05,0.4339306681503789,0.1914611054584384,453
27,12.0,16.65,0.424826024853021,0.16654236086954674,465
28,11.0,16.5,0.41666989865553006,0.14401362023570322,476
29,13.0,16.3,0.4072593485633669,0.17178810846347076,489
30,11.0,15.2,0.3994854691128702,0.17561443556438794,500
31,17.0,15.25,0.3878026957293718,0.36205700390479145,517
32,21.0,15.7,0.37390879673081645,0.20277527595559755,538
33,21.0,16.35,0.3605863568467755,0.2082145613219057,559
34,17.0,16.25,0.35020392225726943,0.22334489072946942,576
35,15.0,16.25,0.3413315555083107,0.19799674501021702,591
36,18.0,16.2,0.33103015720643153,0.2863185310529338,609
37,22.0,15.35,0.3189329211079671,0.26510934599421243,631
38,20.0,15.55,0.3083879104409197,0.2551048189401627,651
39,20.0,15.85,0.29825637555627194,0.1889519590884447,671
40,18.0,16.0,0.2894781029756586,0.21380256757968003,689
41,11.0,15.9,0.2842671157445262,0.2200684490698305,700
42,17.0,16.2,0.27643591855227556,0.33397891723057804,717
43,23.0,16.9,0.2662558039646221,0.24790922090735124,740
44,13.0,17.05,0.26070561813428217,0.24713154996816927,753
45,24.0,17.2,0.25083064377083497,0.2469096826389432,777
46,20.0,17.2,0.2429559615931805,0.22098697163164616,797
47,25.0,17.85,0.233545388300263,0.3608515864610672,822
48,42.0,19.4,0.21875736691537823,0.25857732280911433,864
49,135.0,25.5,0.1788259134214802,0.2569451384729257,999
50,122.0,31.05,0.15093351013834788,0.2541336689724541,1121
51,23.0,31.35,0.14639573757332416,0.25154915063277533,1144
52,113.0,35.95,0.12689662478565467,0.2658922555815198,1257
53,114.0,40.6,0.11121926849132392,0.2547732064533129,1371
54,111.0,45.3,0.09903145272803002,0.22691628049119367,1482
55,110.0,50.05,0.08934866250565274,0.31912795820019463,1592
56,86.0,53.45,0.08313075432179584,0.329773201910389,1678
57,100.0,57.35,0.07712516743592551,0.3411701991967857,1778
58,95.0,61.1,0.07243140497088166,0.3749854203313589,1873
59,126.0,66.4,0.06743469148111136,0.3542831610326493,1999
60,177.0,74.35,0.062236973514156406,0.400284834374479,2176
61,123.0,79.95,0.05956836155654332,0.35543806522297183,2299
62,117.0,84.95,0.05757203597653162,0.5018585398156419,2416
63,125.0,90.05,0.05589710754796767,0.42848485231399536,2541
64,86.0,93.7,0.05496524173732354,0.41591893701792454,2627
65,114.0,98.2,0.0539529494030308,0.46460695484685793,2741
66,138.0,104.1,0.052999549121664706,0.4515469917433633,2879
67,86.0,107.15,0.05252555788933755,0.45823314450248037,2965
68,115.0,110.8,0.05200664060814608,0.405941289064029,3080
69,100.0,109.05,0.051642898376264304,0.4699262127652764,3180
70,81.0,107.0,0.05139718847404741,0.5079186518481116,3261
71,80.0,109.85,0.05119060548017468,0.4627091389382258,3341
72,86.0,108.5,0.05100246501776736,0.4328999998546097,3427
73,78.0,106.7,0.05085766815897631,0.47675837280276495,3505
