episode,reward,moving_avg_reward,epsilon,loss,steps
1,12.0,12.0,1.0,0.0,12
2,12.0,12.0,1.0,0.0,12
3,14.0,12.666666666666666,1.0,0.0,14
4,37.0,18.75,1.0,0.0,37
5,17.0,18.4,1.0,0.0,17
6,15.0,17.833333333333332,1.0,0.0,15
7,28.0,19.285714285714285,1.0,0.0,28
8,19.0,19.25,1.0,0.0,19
9,11.0,18.333333333333332,1.0,0.0,11
10,18.0,18.3,1.0,0.0,18
11,21.0,18.545454545454547,1.0,0.0,21
12,11.0,17.916666666666668,1.0,0.0,11
13,20.0,18.076923076923077,1.0,0.0,20
14,21.0,18.285714285714285,1.0,0.0,21
15,26.0,18.8,1.0,0.0,26
16,10.0,18.25,1.0,0.0,10
17,16.0,18.11764705882353,1.0,0.0,16
18,14.0,17.88888888888889,1.0,0.0,14
19,14.0,17.68421052631579,1.0,0.0,14
20,31.0,18.35,1.0,0.0,31
21,11.0,18.3,1.0,0.0,11
22,19.0,18.65,1.0,0.0,19
23,11.0,18.5,1.0,0.0,11
24,39.0,18.6,1.0,0.0,39
25,20.0,18.75,1.0,0.0,20
26,19.0,18.95,1.0,0.0,19
27,13.0,18.2,1.0,0.0,13
28,26.0,18.55,1.0,0.0,26
29,33.0,19.65,1.0,0.0,33
30,12.0,19.35,1.0,0.0,12
31,14.0,19.0,1.0,0.0,14
32,11.0,19.0,1.0,0.0,11
33,21.0,19.05,1.0,0.0,21
34,13.0,18.65,1.0,0.0,13
35,21.0,18.4,1.0,0.0,21
36,19.0,18.85,1.0,0.0,19
37,18.0,18.95,1.0,0.0,18
38,11.0,18.8,1.0,0.0,11
39,30.0,19.6,1.0,0.0,30
40,14.0,18.75,1.0,0.0,14
41,26.0,19.5,1.0,0.0,26
42,49.0,21.0,1.0,0.0,49
43,16.0,21.25,1.0,0.0,16
44,23.0,20.45,1.0,0.0,23
45,27.0,20.8,1.0,0.0,27
46,11.0,20.4,1.0,0.0,11
47,15.0,20.5,1.0,0.0,15
48,55.0,21.95,1.0,0.0,55
49,37.0,22.15,1.0,0.0,37
50,17.0,22.4,1.0,0.0,17
51,18.0,22.6,1.0,0.0,18
52,19.0,23.0,1.0,0.0,19
53,36.0,23.75,1.0,0.0,36
54,22.0,24.2,1.0,0.0,22
55,16.0,23.95,1.0,0.0,16
56,29.0,24.45,1.0,0.0,29
57,18.0,24.45,1.0,0.0,18
58,12.0,24.5,1.0,0.0,12
59,25.0,24.25,1.0,0.0,25
60,24.0,24.75,1.0,0.0,24
61,19.0,24.4,1.0,0.0,19
62,9.0,22.4,1.0,0.0,9
63,87.0,25.95,1.0,0.0,87
64,11.0,25.35,1.0,0.0,11
65,15.0,24.75,1.0,0.0,15
66,8.0,24.6,1.0,0.0,8
67,27.0,25.2,1.0,0.0,27
68,21.0,23.5,1.0,0.0,21
69,20.0,22.65,1.0,0.0,20
70,14.0,22.5,1.0,0.0,14
71,11.0,22.15,1.0,0.0,11
72,31.0,22.75,1.0,0.0,31
73,17.0,21.8,1.0,0.0,17
74,36.0,22.5,1.0,0.0,36
75,36.0,23.5,1.0,0.0,36
76,18.0,22.95,1.0,0.0,18
77,18.0,22.95,1.0,0.0,18
78,26.0,23.65,1.0,0.0,26
