episode,reward,moving_avg_reward,epsilon,loss,steps
1,-93.10518614601094,-93.10518614601094,1.0,0.0,65
2,-350.7073344150275,-221.90626028051923,1.0,0.0,90
3,-149.71879096015843,-197.84377050706564,1.0,0.0,65
4,-259.22792038158184,-213.1898079756947,1.0,0.0,99
5,-378.74911911050157,-246.30167020265608,1.0,0.0,125
6,-292.3335793736399,-253.9736550644867,1.0,0.0,87
7,-218.35068321554513,-248.88465908606648,1.0,0.0,75
8,-120.15125579354505,-232.7929836745013,1.0,0.0,80
9,-174.58729006903454,-226.325684385005,1.0,0.0,111
10,-365.0128600034716,-240.19440194685166,1.0,0.0,126
11,-61.26993462845368,-223.92854128154275,1.0,0.0,88
12,-173.58141969119777,-219.73294781568066,1.0,0.0,83
13,-94.51717992214492,-210.10096567002407,1.0,0.0,135
14,-132.26192253294525,-204.54103401737558,1.0,0.0,77
15,-230.8316198450505,-206.2937397392206,1.0,0.0,104
16,-27.09482968134762,-195.09380786060353,1.0,0.0,85
17,-101.73293502261566,-189.6019918113101,1.0,0.0,87
18,-98.12777248455218,-184.52009073760135,1.0,0.0,65
19,-27.440009533952903,-176.25271804267248,1.0,0.0,102
20,-74.66510773747883,-171.1733375274128,1.0,0.0,65
21,-98.35810861935288,-171.4359836510799,1.0,0.0,62
22,-130.38489416649392,-160.41986163865323,1.0,0.0,127
23,-107.11671587997753,-158.2897578846442,1.0,0.0,94
24,-166.7387166891748,-153.6652977000238,1.0,0.0,101
25,-208.2735564703172,-145.1415195680146,1.0,0.0,112
26,-80.57440629967793,-134.5535609143165,1.0,0.0,100
27,-118.65232433809848,-129.56864297044416,1.0,0.0,110
28,-268.09250658426856,-136.9657055099803,1.0,0.0,108
29,-70.20111516121906,-131.74639676458955,1.0,0.0,65
30,-60.62090612884175,-116.52679907085808,1.0,0.0,69
31,-88.50159300957507,-117.88838198991414,1.0,0.0,60
32,-197.1446201328269,-119.06654201199561,1.0,0.0,106
33,-417.55953470794316,-135.2186597512855,1.0,0.0,97
34,-412.04480997921627,-149.20780412359906,1.0,0.0,100
35,-167.31871037139305,-146.0321586499162,1.0,0.0,111
36,-147.84962755308635,-152.06989854350311,1.0,0.0,92
37,-130.40629830128302,-153.5035667074365,1.0,0.0,120
38,-153.15540389271007,-156.25494827784442,1.0,0.0,104
39,-330.2080352455572,-171.39334956342464,1.0,0.0,81
40,-79.63649347742995,-171.6419188504222,1.0,0.0,76
41,-215.40785757061735,-177.49440629798542,1.0,0.0,90
42,-88.05058799206888,-175.37769098926418,1.0,0.0,71
43,-134.5582501771114,-176.74976770412084,1.0,0.0,111
44,-290.42445527225664,-182.9340546332749,1.0,0.0,91
45,-13.39065870909701,-173.1899097452139,1.0,0.0,91
46,-145.71141226578476,-176.44676004351925,1.0,0.0,66
47,-131.60660240228265,-177.09447394672844,1.0,0.0,102
48,-99.3932591750007,-168.65951157626506,1.0,0.0,85
49,-160.74245847857821,-173.186578742133,1.0,0.0,81
50,-108.97606184894155,-175.60433652813802,1.0,0.0,103
